Parcela;Cota;Ecosistema;Orientacion;Microestacion;Tratamiento;Cobertura_arborea;Fecha_instalación;Fecha_recogida;Dias_campo;Muestra;Superficie_lámina (cm2);Absorb_NH4;ppm N-NH4;µg resina-1 NH4;µg cm-2 NH4;NH4;Absorb_NO3;ppm N-NO3;µg resina-1 NO3;µg cm-2 NO3;NO3;Absorb_PO4;ppm N-PO4;µg resina-1 PO4;µg cm-2 PO4;PO4
Camarate;2200;Enebral;Norte;26;Control;0;15/04/2024;05/06/2024;51;1;9.29;0.147;0.532505462;26.62527311;2.866014328;0.056196359;0.651;3.673738307;183.6869154;24.16933097;0.47390845;2.61;11.36664488;568.3322442;74.78055844;1.46628546
Camarate;2200;Enebral;Norte;26;Control;0;15/04/2024;05/06/2024;51;2;8.2;0.449;2.41558424;120.779212;14.72917219;0.288807298;1.153;6.802514181;340.125709;42.51571363;0.833641444;2.58;11.04173541;552.0867705;69.01084631;1.353153849
Camarate;2200;Enebral;Norte;26;Control;0;15/04/2024;05/06/2024;51;3;8.8;1.232;7.294564534;364.7282267;41.4463894;0.812674302;1.426;8.500814556;425.0407278;56.22231849;1.102398402;2.01;5.971955301;298.597765;39.49705887;0.774452135
Camarate;2200;Enebral;Norte;27;Refugio;0;15/04/2024;05/06/2024;51;1;7.41;0.124;0.39340262;19.67013099;2.654538595;0.052049776;1.161;6.852342065;342.6171032;41.83359014;0.820266473;1.85;4.522680201;226.1340101;27.61099024;0.541391966
Camarate;2200;Enebral;Norte;27;Refugio;0;15/04/2024;05/06/2024;51;2;7.6;0.112;0.318660794;15.9330397;2.096452592;0.041106914;1.548;9.258613623;462.9306811;56.45496111;1.106960022;1.9;5.027929336;251.3964668;30.65810571;0.601139328
Camarate;2200;Enebral;Norte;27;Refugio;0;15/04/2024;05/06/2024;51;3;7.2;0.097;0.22315735;11.1578675;1.549703819;0.030386349;1.436;8.563099411;428.1549705;54.89166289;1.076307115;1.55;1.86676882;93.338441;11.96646679;0.234636604
Canar;1700;Robledal;Sur;10;Refugio;0.725442196;23/04/2024;24/06/2024;62;1;7.38;0.152;0.56364789;28.18239448;3.81875264;0.061592785;1.684;10.10620669;505.3103344;61.62321152;0.993922766;2.61;11.37558735;568.7793673;69.36333747;1.118763508
Canar;1700;Robledal;Sur;10;Refugio;0.725442196;23/04/2024;24/06/2024;62;2;8;0.145;0.522124653;26.10623265;3.263279082;0.052633534;1.778;10.69116528;534.5582642;66.81978302;1.077738436;2.62;11.44712705;572.3563523;71.54454404;1.153944259
Canar;1700;Robledal;Sur;10;Refugio;0.725442196;23/04/2024;24/06/2024;62;3;7.8;0.145;0.520048491;26.00242456;3.333644175;0.053768454;1.712;10.28423757;514.2118783;55.89259546;0.901493475;2.57;10.99106146;549.5530728;59.73402965;0.963452091
Canar;1700;Robledal;Sur;114;Refugio;0.822925837;23/04/2024;24/06/2024;62;1;7.8;0.162;0.628008906;31.40044531;4.025698117;0.064930615;1.461;8.718811548;435.9405774;53.16348505;0.857475565;2.35;9.041604617;452.0802308;55.13173547;0.88922154
Canar;1700;Robledal;Sur;114;Refugio;0.822925837;23/04/2024;24/06/2024;62;2;8.2;0.141;0.499286873;24.96434365;3.044432152;0.049103744;1.619;9.704988416;485.2494208;67.39575289;1.087028272;2.46;10.00739057;500.3695287;69.49576787;1.120899482
Canar;1700;Robledal;Sur;114;Refugio;0.822925837;23/04/2024;24/06/2024;62;3;7.22;0.158;0.601018803;30.05094013;4.162180073;0.067131937;2.003;12.09153644;604.5768218;77.60934811;1.251763679;1.88;4.76263628;238.131814;30.56891065;0.493046946
