Parcela;Cota;Ecosistema;Orientacion;Fecha_siembra;Fecha_revision;Microestacion;Protector;Tratamiento;Cobertura_arborea;Vivo;Muerto
Canar;1800;Robledal;Sur;20230606;20240624;49;1;Control;0.43006552;;
Canar;1800;Robledal;Sur;20230606;20240624;49;2;Control;0.43006552;;
Canar;1800;Robledal;Sur;20230606;20240624;49;3;Control;0.43006552;;
Canar;1800;Robledal;Sur;20230606;20240624;51;1;Control;0.388082823;;
Canar;1800;Robledal;Sur;20230606;20240624;51;2;Control;0.388082823;;
Canar;1800;Robledal;Sur;20230606;20240624;51;3;Control;0.388082823;;
Canar;1800;Robledal;Sur;20230606;20240624;52;1;Refugio;0.293132894;;
Canar;1800;Robledal;Sur;20230606;20240624;52;2;Refugio;0.293132894;;
Canar;1800;Robledal;Sur;20230606;20240624;52;3;Refugio;0.293132894;;
Canar;1800;Robledal;Sur;20230606;20240624;53;1;Control;0.0356836;;
Canar;1800;Robledal;Sur;20230606;20240624;53;2;Control;0.0356836;;
Canar;1800;Robledal;Sur;20230606;20240624;53;3;Control;0.0356836;;
Canar;1800;Robledal;Sur;20230606;20240624;54;1;Refugio;0.677412767;;
Canar;1800;Robledal;Sur;20230606;20240624;54;2;Refugio;0.677412767;;
Canar;1800;Robledal;Sur;20230606;20240624;54;3;Refugio;0.677412767;;
Canar;1700;Robledal;Sur;20230606;20240624;114;1;Refugio;0.822925837;;
Canar;1700;Robledal;Sur;20230606;20240624;114;2;Refugio;0.822925837;;
Canar;1700;Robledal;Sur;20230606;20240624;114;3;Refugio;0.822925837;;
Canar;1700;Robledal;Sur;20230606;20240624;9;1;Control;0.146584964;;
Canar;1700;Robledal;Sur;20230606;20240624;9;2;Control;0.146584964;;
Canar;1700;Robledal;Sur;20230606;20240624;9;3;Control;0.146584964;;
Canar;1700;Robledal;Sur;20230606;20240624;16;1;Control;0.031152651;;
Canar;1700;Robledal;Sur;20230606;20240624;16;2;Control;0.031152651;;
Canar;1700;Robledal;Sur;20230606;20240624;16;3;Control;0.031152651;;
Canar;1700;Robledal;Sur;20230606;20240624;10;1;Refugio;0.725442196;;
Canar;1700;Robledal;Sur;20230606;20240624;10;2;Refugio;0.725442196;;
Canar;1700;Robledal;Sur;20230606;20240624;10;3;Refugio;0.725442196;;
Canar;1700;Robledal;Sur;20230606;20240624;13;1;Control;0.003621479;;
Canar;1700;Robledal;Sur;20230606;20240624;13;2;Control;0.003621479;;
Canar;1700;Robledal;Sur;20230606;20240624;13;3;Control;0.003621479;;
Canar;1700;Robledal;Sur;20230606;20240624;12;1;Refugio;0.640656215;;
Canar;1700;Robledal;Sur;20230606;20240624;12;2;Refugio;0.640656215;;
Canar;1700;Robledal;Sur;20230606;20240624;12;3;Refugio;0.640656215;;
Canar;2000;Piornal;Sur;20230614;20240624;39;1;Control;0;;
Canar;2000;Piornal;Sur;20230614;20240624;39;2;Control;0;;
Canar;2000;Piornal;Sur;20230614;20240624;39;3;Control;0;;
Canar;2000;Piornal;Sur;20230614;20240624;3;1;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;3;2;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;3;3;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;36;1;Control;0;;
Canar;2000;Piornal;Sur;20230614;20240624;36;2;Control;0;;
Canar;2000;Piornal;Sur;20230614;20240624;36;3;Control;0;;
Canar;2000;Piornal;Sur;20230614;20240624;35;1;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;35;2;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;35;3;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;37;1;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;37;2;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;37;3;Refugio;0;;
Canar;2000;Piornal;Sur;20230614;20240624;38;1;Control;0;;
Canar;2000;Piornal;Sur;20230614;20240624;38;2;Control;0;;
Canar;2000;Piornal;Sur;20230614;20240624;38;3;Control;0;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_1-4;1;Refugio;0.713809552;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_1-4;2;Refugio;0.713809552;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_1-4;3;Refugio;0.713809552;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_5-8;1;Control;0.825429393;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_5-8;2;Control;0.825429393;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_5-8;3;Control;0.825429393;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_9-12;1;Refugio;0.836731897;1;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_9-12;2;Refugio;0.836731897;1;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_9-12;3;Refugio;0.836731897;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_13-16;1;Control;0.839677225;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_13-16;2;Control;0.839677225;1;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_13-16;3;Control;0.839677225;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_17-20;1;Refugio;0.644618943;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_17-20;2;Refugio;0.644618943;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_17-20;3;Refugio;0.644618943;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_21-24;1;Control;0.866560818;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_21-24;2;Control;0.866560818;;
Portugos;1700;Pinar_sy;Sur;20230727;20240625;Collar_21-24;3;Control;0.866560818;;
Canar;1900;Robledal;Sur;20230615;20240625;56;1;Refugio;0.670424821;;
Canar;1900;Robledal;Sur;20230615;20240625;56;2;Refugio;0.670424821;2;
Canar;1900;Robledal;Sur;20230615;20240625;56;3;Refugio;0.670424821;;
Canar;1900;Robledal;Sur;20230615;20240625;55;1;Control;0.30693525;;
Canar;1900;Robledal;Sur;20230615;20240625;55;2;Control;0.30693525;;
Canar;1900;Robledal;Sur;20230615;20240625;55;3;Control;0.30693525;;
Canar;1900;Piornal;Sur;20230615;20240625;57;1;Refugio;0.283975764;;
Canar;1900;Piornal;Sur;20230615;20240625;57;2;Refugio;0.283975764;;
Canar;1900;Piornal;Sur;20230615;20240625;57;3;Refugio;0.283975764;;
Canar;1900;Robledal;Sur;20230615;20240625;58;1;Control;0.05761775;;
Canar;1900;Robledal;Sur;20230615;20240625;58;2;Control;0.05761775;;
Canar;1900;Robledal;Sur;20230615;20240625;58;3;Control;0.05761775;;
Canar;1900;Piornal;Sur;20230615;20240625;60;1;Refugio;0.004152135;;
Canar;1900;Piornal;Sur;20230615;20240625;60;2;Refugio;0.004152135;;
Canar;1900;Piornal;Sur;20230615;20240625;60;3;Refugio;0.004152135;;
Canar;1900;Robledal;Sur;20230615;20240625;59;1;Refugio;0.600574463;1;
Canar;1900;Robledal;Sur;20230615;20240625;59;2;Refugio;0.600574463;;
Canar;1900;Robledal;Sur;20230615;20240625;59;3;Refugio;0.600574463;;
Canar;1900;Piornal;Sur;20230615;20240625;63;1;Refugio;0;1;
Canar;1900;Piornal;Sur;20230615;20240625;63;2;Refugio;0;;
Canar;1900;Piornal;Sur;20230615;20240625;63;3;Refugio;0;1;
Canar;1900;Robledal;Sur;20230615;20240625;61;1;Control;0.210915544;;
Canar;1900;Robledal;Sur;20230615;20240625;61;2;Control;0.210915544;;
Canar;1900;Robledal;Sur;20230615;20240625;61;3;Control;0.210915544;;
Canar;1900;Robledal;Sur;20230615;20240625;62;1;Refugio;0.592024705;1;
Canar;1900;Robledal;Sur;20230615;20240625;62;2;Refugio;0.592024705;;
Canar;1900;Robledal;Sur;20230615;20240625;62;3;Refugio;0.592024705;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_1-3;1;Control;0.054205783;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_1-3;2;Control;0.054205783;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_1-3;3;Control;0.054205783;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_4-6;1;Refugio;0.093623552;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_4-6;2;Refugio;0.093623552;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_4-6;3;Refugio;0.093623552;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_7-9;1;Control;0;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_7-9;2;Control;0;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_7-9;3;Control;0;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_10-12;1;Refugio;0.140077942;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_10-12;2;Refugio;0.140077942;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_10-12;3;Refugio;0.140077942;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_13-15;1;Control;0;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_13-15;2;Control;0;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_13-15;3;Control;0;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_16-18;1;Refugio;0.089204767;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_16-18;2;Refugio;0.089204767;;
Finana;1500;Encinar;Norte;20230407;20240701;Collar_16-18;3;Refugio;0.089204767;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_1-4;1;Refugio;0.544344462;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_1-4;2;Refugio;0.544344462;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_1-4;3;Refugio;0.544344462;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_5-8;1;Control;0.730136627;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_5-8;2;Control;0.730136627;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_5-8;3;Control;0.730136627;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_9-12;1;Refugio;0.344418743;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_9-12;2;Refugio;0.344418743;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_9-12;3;Refugio;0.344418743;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_13-16;1;Control;0.644406257;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_13-16;2;Control;0.644406257;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_13-16;3;Control;0.644406257;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_17-20;1;Refugio;0.316406647;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_17-20;2;Refugio;0.316406647;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_17-20;3;Refugio;0.316406647;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_21-24;1;Control;0.542004918;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_21-24;2;Control;0.542004918;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240701;Collar_21-24;3;Control;0.542004918;;
Camarate;1500;Encinar;Norte;20230622;20240702;40;1;Refugio;0.359531075;;
Camarate;1500;Encinar;Norte;20230622;20240702;40;2;Refugio;0.359531075;;
Camarate;1500;Encinar;Norte;20230622;20240702;40;3;Refugio;0.359531075;;
Camarate;1500;Encinar;Norte;20230622;20240702;41;1;Control;0.059943538;;
Camarate;1500;Encinar;Norte;20230622;20240702;41;2;Control;0.059943538;;
Camarate;1500;Encinar;Norte;20230622;20240702;41;3;Control;0.059943538;;
Camarate;1500;Encinar;Norte;20230622;20240702;42;1;Refugio;0.629552111;;
Camarate;1500;Encinar;Norte;20230622;20240702;42;2;Refugio;0.629552111;;
Camarate;1500;Encinar;Norte;20230622;20240702;42;3;Refugio;0.629552111;1;
Camarate;1500;Encinar;Norte;20230622;20240702;43;1;Control;0.20510848;;
Camarate;1500;Encinar;Norte;20230622;20240702;43;2;Control;0.20510848;;
Camarate;1500;Encinar;Norte;20230622;20240702;43;3;Control;0.20510848;;
Camarate;1500;Encinar;Norte;20230622;20240702;44;1;Control;0.10444143;;
Camarate;1500;Encinar;Norte;20230622;20240702;44;2;Control;0.10444143;;
Camarate;1500;Encinar;Norte;20230622;20240702;44;3;Control;0.10444143;;
Camarate;1500;Encinar;Norte;20230622;20240702;45;1;Refugio;0.554234881;;
Camarate;1500;Encinar;Norte;20230622;20240702;45;2;Refugio;0.554234881;;
Camarate;1500;Encinar;Norte;20230622;20240702;45;3;Refugio;0.554234881;;
Camarate;1700;Robledal;Norte;20230622;20240702;6;1;Refugio;0.356924881;1;
Camarate;1700;Robledal;Norte;20230622;20240702;6;2;Refugio;0.356924881;;
Camarate;1700;Robledal;Norte;20230622;20240702;6;3;Refugio;0.356924881;;
Camarate;1700;Robledal;Norte;20230622;20240702;67;1;Control;0.468103477;;
Camarate;1700;Robledal;Norte;20230622;20240702;67;2;Control;0.468103477;;
Camarate;1700;Robledal;Norte;20230622;20240702;67;3;Control;0.468103477;;
Camarate;1700;Robledal;Norte;20230622;20240702;66;1;Refugio;0.583936825;;
Camarate;1700;Robledal;Norte;20230622;20240702;66;2;Refugio;0.583936825;;
Camarate;1700;Robledal;Norte;20230622;20240702;66;3;Refugio;0.583936825;;
Camarate;1700;Robledal;Norte;20230622;20240702;5;1;Control;0.435913851;1;
Camarate;1700;Robledal;Norte;20230622;20240702;5;2;Control;0.435913851;;
Camarate;1700;Robledal;Norte;20230622;20240702;5;3;Control;0.435913851;;
Camarate;1700;Robledal;Norte;20230622;20240702;4;1;Refugio;0.328830249;;
Camarate;1700;Robledal;Norte;20230622;20240702;4;2;Refugio;0.328830249;1;
Camarate;1700;Robledal;Norte;20230622;20240702;4;3;Refugio;0.328830249;;
Camarate;1700;Robledal;Norte;20230622;20240702;1;1;Control;0.433905504;;
Camarate;1700;Robledal;Norte;20230622;20240702;1;2;Control;0.433905504;;
Camarate;1700;Robledal;Norte;20230622;20240702;1;3;Control;0.433905504;;
Camarate;2200;Piornal;Norte;20230621;20240704;22;1;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;22;2;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;22;3;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;23;1;Refugio;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;23;2;Refugio;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;23;3;Refugio;0;1;
Camarate;2200;Piornal;Norte;20230621;20240704;24;1;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;24;2;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;24;3;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;25;1;Refugio;0;1;
Camarate;2200;Piornal;Norte;20230621;20240704;25;2;Refugio;0;3;
Camarate;2200;Piornal;Norte;20230621;20240704;25;3;Refugio;0;2;
Camarate;2200;Piornal;Norte;20230621;20240704;26;1;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;26;2;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;26;3;Control;0;;
Camarate;2200;Piornal;Norte;20230621;20240704;27;1;Refugio;0;;
