Specie,SLA,SDM,H,Leaf_N,DispMode,PollMode,LifeForm,Ciclo,Strata
Santolina_chamaecyparissus,5.8,0.32,0.5,5.09,Anemochory,Zoophily,chamaephyte,Perenne,Mat
Saxifraga_granulata,25,0.03,0.3,NA,Epizoochory,Zoophily,hemicryptophyte,Perenne,Her
Scabiosa_turolensis_turolensis,11.8,1.97,0.8,2.23,Autochory,Zoophily,hemicryptophyte,Perenne,Her
Scleranthus_annuus,19.8,0.28,0.2,2.25,Endozoochory,Autogamy,therophyte,Anual,Her
Scleranthus_annuus_annuus,19.8,0.28,0.2,2.25,Endozoochory,Autogamy,therophyte,Anual,Her
Scorzonera_angustifolia,13.9,2.5,0.2,2.5,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Sedum_cf,3,0.04,0.2,1.4,Anemochory,Zoophily,therophyte,NA,Her
Senecio_minutus,19,0.15,0.5,NA,Anemochory,Zoophily,therophyte,Anual,Her
Silene_cf,15,0.41,0.2,3,Autochory,Zoophily,NA,NA,Her
Silene_rupestris,20.4,0.074,0.2,1.3,Hidrochory,Zoophily,hemicryptophyte,Perenne,Her
Smyrnium_perfoliatum,31,4.1,0.65,NA,Epizoochory,Zoophily,hemicryptophyte,Perenne,Her
Stellaria_media,54,0.6,0.47,3.95,Anemochory,Autogamy,therophyte,Anual,Her
Taraxacum_laevigatum,27.7,0.7,0.35,1.6,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Taraxacum_officinale,27.7,0.7,0.35,1.6,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Teucrium_compactum,7,1.07,0.3,1.7,Endozoochory,Zoophily,chamaephyte,Perenne,Mat
Teucrium_rotundifolium,14.92,1.41,0.3,1.8,Autochory,Zoophily,chamaephyte,Perenne,Mat
Thapsia_villosa,4.8,8.29,0.83,1.94,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Thesium_humifusum,6,2.4,0.2,2.19,Endozoochory,Zoophily,hemicryptophyte,Perenne,Her
Thymus_cf,19.8,0.12,0.05,2,Autochory,Zoophily,chamaephyte,Perenne,Mat
Thymus_mastichina,8.1,0.17,0.5,2,Endozoochory,Zoophily,chamaephyte,Perenne,Mat
Thymus_serpylloides_serpylloides,17,0.08,0.25,2,Endozoochory,Zoophily,chamaephyte,Perenne,Mat
Thymus_zygis_gracilis,19.8,0.12,0.05,2,Autochory,Zoophily,chamaephyte,Perenne,Mat
Tolpis_cf,25.8,0.18,0.01,2,Herpochory,Zoophily,NA,Anual,Her
Torilis_cf,12.8,0.25,0.2,2.3,Epizoochory,Zoophily,therophyte,Anual,Her
Torilis_leptophylla,12.8,0.25,0.2,2.3,Epizoochory,Zoophily,therophyte,Anual,Her
Tragopogon_angustifolius,25.1,9.96,0.08,1.96,Epizoochory,Zoophily,therophyte,Anual,Her
Tragopogon_cf,25.1,9.96,0.08,1.96,Epizoochory,Zoophily,therophyte,Anual,Her
Tragopogon_pratensis,22.5,5.07,0.5,2.19,Hidrochory,Zoophily,therophyte,Anual,Her
Trifolium_angustifolium,16,1.7,0.3,3.25,Endozoochory,Zoophily,therophyte,Anual,Her
Trifolium_arvense,19.8,0.29,0.16,2.7,Anemochory,Autogamy,therophyte,Anual,Her
Trifolium_cf,33,0.75,0.04,12.3,Endozoochory,Zoophily,therophyte,Anual,Her
Ulex_parviflorus,3.5,6.44,1.02,1.41,Herpochory,Zoophily,chamaephyte,Perenne,Mat
Verbascum_cf,10,0.13,0.7,2.2,Autochory,Zoophily,hemicryptophyte,Perenne,Her
Verbascum_nevadense,10,0.13,0.7,2.2,Autochory,Zoophily,hemicryptophyte,Perenne,Her
Veronica_cf,23.62,0.11,0.19,2.6,Endozoochory,Zoophily,NA,NA,Her
Vicia_cf,21,38,0.6,3.3,Endozoochory,Zoophily,therophyte,Anual,Her
Viola_arvensis,43,0.46,NA,2.3,Endozoochory,Zoophily,therophyte,Anual,Her
